year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	AggregatedInstalledCapacity	SubmissionTS
2016	1	1	2016-01-01 00:00:00.000	CTA	MAVIR CA	HU	Fossil Oil 	410.00	2016-02-26 11:01:07.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Serbia	RS	Hydro Run-of-river and poundage 	1883.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Serbia	RS	Other 	403.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Serbia	RS	Hydro Pumped Storage 	614.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	BZN	EMS BZ	RS	Fossil Brown coal/Lignite 	5566.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	BZN	EMS BZ	RS	Hydro Water Reservoir 	420.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	BZN	EMS BZ	RS	Hydro Run-of-river and poundage 	1883.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	BZN	EMS BZ	RS	Other 	403.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	BZN	EMS BZ	RS	Hydro Pumped Storage 	614.00	2016-12-26 10:04:28.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Finland	FI	Nuclear 	2782.00	2016-07-15 08:09:03.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Fingrid BZ	FI	Nuclear 	2782.00	2016-07-15 08:09:03.000
2016	1	1	2016-01-01 00:00:00.000	CTA	50Hertz CA	DE_50HzT	Other renewable 	76.83	2016-06-03 13:47:41.000
2016	1	1	2016-01-01 00:00:00.000	CTA	50Hertz CA	DE_50HzT	Other 	632.00	2016-06-03 13:52:39.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Denmark	DK	Fossil Hard coal 	4847.00	2016-07-15 08:05:00.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Denmark	DK	Fossil Gas 	2941.00	2016-07-15 08:05:00.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Energinet CA	DK	Fossil Gas 	2941.00	2016-07-15 08:05:00.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Energinet CA	DK	Fossil Hard coal 	4847.00	2016-07-15 08:05:00.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Switzerland	CH	Hydro Pumped Storage 	4178.00	2016-07-15 08:06:50.000
2016	1	1	2016-01-01 00:00:00.000	BZN	swissgrid BZ	CH	Hydro Pumped Storage 	4178.00	2016-07-15 08:06:50.000
2016	1	1	2016-01-01 00:00:00.000	BZN	REE BZ	ES	Waste 	378.40	2016-07-15 08:08:57.000
2016	1	1	2016-01-01 00:00:00.000	BZN	REE BZ	ES	Other renewable 	157.30	2016-07-15 08:08:57.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Spain	ES	Other renewable 	157.30	2016-07-15 08:08:57.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Spain	ES	Waste 	378.40	2016-07-15 08:08:57.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Former Yugoslav Republic of Macedonia	MK	Wind Onshore 	35.00	2016-07-15 08:10:29.000
2016	1	1	2016-01-01 00:00:00.000	BZN	MEPSO BZ	MK	Wind Onshore 	35.00	2016-07-15 08:10:29.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Transelectrica BZ	RO	Fossil Gas 	4879.00	2016-07-15 08:11:06.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Transelectrica BZ	RO	Fossil Hard coal 	1348.00	2016-07-15 08:11:06.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Romania	RO	Fossil Hard coal 	1348.00	2016-07-15 08:11:06.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Romania	RO	Fossil Gas 	4879.00	2016-07-15 08:11:06.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Transelectrica BZ	RO	Nuclear 	1298.00	2016-07-15 08:11:11.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Romania	RO	Nuclear 	1298.00	2016-07-15 08:11:11.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Elia BZ	BE	Biomass 	709.53	2016-11-16 10:38:33.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Elia BZ	BE	Wind Offshore 	712.20	2016-11-16 10:38:33.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Belgium	BE	Wind Offshore 	712.20	2016-11-16 10:38:33.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Belgium	BE	Biomass 	709.53	2016-11-16 10:38:33.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Germany	DE	Biomass 	6813.60	2017-11-10 11:00:23.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Germany	DE	Other 	3489.00	2017-11-10 11:00:23.000
2016	1	1	2016-01-01 00:00:00.000	CTA	CEPS CA	CZ	Wind Onshore 	277.00	2016-04-04 10:32:13.000
2016	1	1	2016-01-01 00:00:00.000	CTA	MEPSO CA	MK	Hydro Water Reservoir 	506.00	2016-01-24 11:20:27.000
2016	1	1	2016-01-01 00:00:00.000	CTA	MEPSO CA	MK	Wind Onshore 	35.00	2016-01-24 11:20:27.000
2016	1	1	2016-01-01 00:00:00.000	CTA	MEPSO CA	MK	Fossil Brown coal/Lignite 	1076.00	2016-01-24 11:20:27.000
