year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	TotalLoadValue	SubmissionTS
2017	1	26	2017-01-26 15:45:00.000	BZN	Elia BZ	BE	12567.400000	2017-03-27 14:31:28.000
2017	1	29	2017-01-29 20:00:00.000	BZN	SE3 BZ	SE3	11980.000000	2017-01-29 23:33:30.000
2017	1	26	2017-01-26 08:15:00.000	BZN	Elia BZ	BE	13123.420000	2017-03-27 14:31:28.000
2017	1	26	2017-01-26 16:15:00.000	BZN	Elia BZ	BE	12702.440000	2017-03-27 14:31:28.000
2017	1	26	2017-01-26 11:15:00.000	BZN	Elia BZ	BE	12462.160000	2017-03-27 14:31:28.000
2017	1	14	2017-01-14 06:30:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	3297.720000	2017-04-26 12:59:06.000
2017	1	6	2017-01-06 01:00:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	3640.680000	2017-04-26 12:58:44.000
2017	1	14	2017-01-14 17:30:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	5355.260000	2017-04-26 12:59:06.000
2017	1	6	2017-01-06 04:00:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	3169.530000	2017-04-26 12:58:44.000
2017	1	14	2017-01-14 14:30:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	4666.510000	2017-04-26 12:59:06.000
2017	1	7	2017-01-07 22:00:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	4250.500000	2017-04-26 12:59:27.000
2017	1	11	2017-01-11 11:45:00.000	BZN	DE-AT-LU	DE_AT_LU	88322.130000	2017-05-10 15:22:07.000
2017	1	22	2017-01-22 11:00:00.000	BZN	Litgrid BZ	LT	1387.000000	2017-01-22 12:12:17.000
2017	1	17	2017-01-17 06:00:00.000	BZN	HOPS BZ	HR	2527.000000	2017-01-21 10:04:24.000
2017	1	10	2017-01-10 23:00:00.000	BZN	IPTO BZ	GR	5878.000000	2017-01-11 00:35:19.000
2017	1	15	2017-01-15 04:00:00.000	BZN	NO2 BZ	NO2	4562.590000	2017-01-18 21:51:38.000
2017	1	15	2017-01-15 01:00:00.000	BZN	NO2 BZ	NO2	4498.610000	2017-01-18 21:51:38.000
2017	1	8	2017-01-08 21:00:00.000	BZN	Litgrid BZ	LT	1268.000000	2017-01-08 22:11:57.000
2017	1	1	2017-01-01 20:45:00.000	BZN	TenneT NL BZ	NL	12593.000000	2017-01-23 11:12:11.000
2017	1	20	2017-01-20 00:00:00.000	CTA	Elia CA	BE	11248.340000	2017-03-21 10:45:08.000
2017	1	20	2017-01-20 07:45:00.000	CTA	Elia CA	BE	13103.670000	2017-03-21 10:45:08.000
2017	1	20	2017-01-20 18:30:00.000	CTA	Elia CA	BE	12308.710000	2017-03-21 10:45:08.000
2017	1	20	2017-01-20 08:15:00.000	CTA	Elia CA	BE	13052.860000	2017-03-21 10:45:08.000
2017	1	5	2017-01-05 21:00:00.000	CTA	Fingrid CA	FI	13470.000000	2017-01-05 22:01:18.000
2017	1	7	2017-01-07 21:00:00.000	CTA	50Hertz CA	DE_50HzT	10026.800000	2017-01-07 21:31:46.000
2017	1	25	2017-01-25 22:00:00.000	CTA	Amprion CA	DE_Amprion	23110.080000	2017-01-26 22:50:24.000
2017	1	25	2017-01-25 00:45:00.000	CTA	Amprion CA	DE_Amprion	20296.870000	2017-01-26 22:50:24.000
2017	1	26	2017-01-26 10:00:00.000	CTA	IPTO CA	GR	8430.000000	2017-01-26 11:35:35.000
2017	1	25	2017-01-25 21:30:00.000	CTA	Amprion CA	DE_Amprion	23972.980000	2017-01-26 22:50:24.000
2017	1	25	2017-01-25 08:30:00.000	CTA	Amprion CA	DE_Amprion	27105.630000	2017-01-26 22:50:24.000
2017	1	7	2017-01-07 07:30:00.000	CTA	50Hertz CA	DE_50HzT	10116.700000	2017-01-07 08:01:50.000
2017	1	6	2017-01-06 19:00:00.000	CTA	EMS CA	RS	6460.000000	2017-01-07 06:59:53.000
2017	1	26	2017-01-26 06:00:00.000	CTA	TransnetBW CA	DE_TransnetBW	9293.450000	2017-01-26 23:06:05.000
2017	1	26	2017-01-26 09:00:00.000	CTA	TransnetBW CA	DE_TransnetBW	10069.910000	2017-01-26 23:06:05.000
2017	1	1	2017-01-01 01:00:00.000	CTA	Fingrid CA	FI	9067.200000	2017-01-01 02:01:26.000
2017	1	1	2017-01-01 20:00:00.000	CTA	IPTO CA	GR	6419.000000	2017-01-01 21:34:46.000
2017	1	27	2017-01-27 20:30:00.000	BZN	Cyprus TSO BZ	CY	664.270000	2017-01-27 21:12:12.000
2017	1	27	2017-01-27 19:00:00.000	BZN	DK2 BZ	DK2	1786.530000	2017-01-27 20:46:10.000
2017	1	18	2017-01-18 20:00:00.000	BZN	DK2 BZ	DK2	1697.620000	2017-01-18 21:46:08.000
2017	1	5	2017-01-05 16:00:00.000	BZN	TenneT NL BZ	NL	17361.000000	2017-01-23 12:09:24.000
2017	1	23	2017-01-23 15:30:00.000	BZN	Cyprus TSO BZ	CY	689.430000	2017-01-23 16:11:54.000
2017	1	22	2017-01-22 07:30:00.000	BZN	Cyprus TSO BZ	CY	405.320000	2017-01-22 08:11:52.000
2017	1	25	2017-01-25 07:00:00.000	BZN	IPTO BZ	GR	8010.000000	2017-01-25 08:35:48.000
2017	1	25	2017-01-25 13:00:00.000	BZN	RTE BZ	FR	87536.000000	2017-01-25 14:31:16.000
2017	1	20	2017-01-20 20:30:00.000	BZN	Cyprus TSO BZ	CY	573.520000	2017-01-20 21:11:13.000
2017	1	13	2017-01-13 19:00:00.000	BZN	IT-South BZ	IT_SUD	4087.000000	2017-01-14 06:00:53.000
2017	1	13	2017-01-13 20:00:00.000	BZN	IT-South BZ	IT_SUD	3668.000000	2017-01-14 06:00:53.000
2017	1	13	2017-01-13 04:00:00.000	BZN	IT-South BZ	IT_SUD	2444.000000	2017-01-14 06:00:53.000
2017	1	10	2017-01-10 05:00:00.000	BZN	swissgrid BZ	CH	7189.720000	2017-01-31 15:58:32.000
2017	1	10	2017-01-10 02:00:00.000	BZN	swissgrid BZ	CH	7091.380000	2017-01-31 15:58:32.000
2017	1	8	2017-01-08 16:00:00.000	BZN	EMS BZ	RS	6708.000000	2017-01-09 06:59:55.000
2017	1	8	2017-01-08 03:00:00.000	BZN	EMS BZ	RS	5154.000000	2017-01-09 06:59:55.000
2017	1	2	2017-01-02 01:00:00.000	CTA	TenneT NL CA	NL	9931.000000	2017-01-23 11:19:08.000
2017	1	25	2017-01-25 08:00:00.000	CTA	TenneT NL CA	NL	17596.000000	2017-02-13 15:02:57.000
2017	1	26	2017-01-26 23:30:00.000	CTA	TenneT NL CA	NL	12085.000000	2017-02-13 15:31:59.000
2017	1	30	2017-01-30 13:45:00.000	CTA	MAVIR CA	HU	6210.970000	2017-01-30 23:13:49.000
2017	1	30	2017-01-30 22:00:00.000	CTA	MAVIR CA	HU	5473.020000	2017-01-30 23:13:49.000
2017	1	30	2017-01-30 14:15:00.000	CTA	MAVIR CA	HU	6213.250000	2017-01-30 23:13:49.000
2017	1	8	2017-01-08 07:30:00.000	CTA	TenneT NL CA	NL	11628.000000	2017-01-30 11:11:10.000
2017	1	31	2017-01-31 22:00:00.000	CTA	TenneT NL CA	NL	12876.000000	2017-02-20 13:29:24.000
2017	1	31	2017-01-31 13:45:00.000	CTA	TenneT NL CA	NL	16711.000000	2017-02-20 13:27:03.000
2017	1	14	2017-01-14 01:30:00.000	CTA	TenneT NL CA	NL	10706.000000	2017-02-06 09:49:03.000
2017	1	12	2017-01-12 02:00:00.000	CTA	TenneT NL CA	NL	10673.000000	2017-01-30 12:10:30.000
2017	1	12	2017-01-12 01:30:00.000	CTA	TenneT NL CA	NL	10729.000000	2017-01-30 12:10:30.000
2017	1	9	2017-01-09 00:45:00.000	CTA	TenneT NL CA	NL	10294.000000	2017-01-30 11:26:07.000
2017	1	31	2017-01-31 15:15:00.000	CTA	TenneT NL CA	NL	16778.000000	2017-02-20 13:27:11.000
2017	1	6	2017-01-06 14:15:00.000	CTA	CREOS CA	LU	608.620000	2017-01-06 14:15:27.000
2017	1	6	2017-01-06 12:30:00.000	CTA	Cyprus TSO CA	CY	450.520000	2017-01-06 13:10:47.000
