year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	ActualConsumption	ActualGenerationOutput	SubmissionTS
2016	1	14	2016-01-14 12:00:00.000	BZN	Elia BZ	BE	Solar 	0.000000	578.940000	2016-01-15 11:02:33.000
2016	1	14	2016-01-14 17:00:00.000	BZN	Elia BZ	BE	Fossil Gas 	0.000000	4198.950000	2017-04-26 15:20:22.000
2016	1	14	2016-01-14 20:00:00.000	BZN	Elia BZ	BE	Fossil Gas 	0.000000	3059.940000	2017-04-26 15:20:22.000
2016	1	14	2016-01-14 22:00:00.000	BZN	Elia BZ	BE	Biomass 	0.000000	409.910000	2017-04-26 15:20:03.000
2016	1	14	2016-01-14 01:00:00.000	BZN	Elia BZ	BE	Fossil Hard coal 	0.000000	173.050000	2017-04-26 15:20:26.000
2016	1	14	2016-01-14 21:00:00.000	BZN	Elia BZ	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:21:44.000
2016	1	14	2016-01-14 10:00:00.000	BZN	Elia BZ	BE	Waste 	0.000000	153.560000	2017-04-26 15:21:57.000
2016	1	14	2016-01-14 02:00:00.000	BZN	Elia BZ	BE	Hydro Pumped Storage 	0.000000	0.000000	2017-04-26 15:20:21.000
2016	1	14	2016-01-14 13:00:00.000	BZN	Elia BZ	BE	Waste 	0.000000	157.150000	2017-04-26 15:21:57.000
2016	1	14	2016-01-14 23:00:00.000	BZN	Elia BZ	BE	Wind Offshore 	0.000000	260.500000	2017-01-10 10:43:12.000
2016	1	14	2016-01-14 05:00:00.000	BZN	Elia BZ	BE	Solar 	0.000000	0.000000	2016-01-15 11:02:33.000
2016	1	14	2016-01-14 02:00:00.000	BZN	Elia BZ	BE	Solar 	0.000000	0.000000	2016-01-15 11:02:33.000
2016	1	14	2016-01-14 00:00:00.000	BZN	Elia BZ	BE	Wind Onshore 	0.000000	574.210000	2016-01-15 11:02:58.000
2016	1	14	2016-01-14 01:00:00.000	BZN	Elia BZ	BE	Wind Onshore 	0.000000	626.910000	2016-01-15 11:02:58.000
2016	1	14	2016-01-14 08:00:00.000	BZN	Elia BZ	BE	Wind Offshore 	0.000000	578.360000	2017-01-10 10:43:02.000
2016	1	14	2016-01-14 05:00:00.000	BZN	Elia BZ	BE	Wind Offshore 	0.000000	619.110000	2017-01-10 10:43:02.000
2016	1	14	2016-01-14 03:00:00.000	BZN	Elia BZ	BE	Fossil Gas 	0.000000	1812.120000	2017-04-26 15:20:22.000
2016	1	14	2016-01-14 12:00:00.000	BZN	Elia BZ	BE	Nuclear 	0.000000	5958.410000	2017-04-26 15:20:44.000
2016	1	14	2016-01-14 06:00:00.000	BZN	Elia BZ	BE	Fossil Gas 	0.000000	3768.190000	2017-04-26 15:20:22.000
2016	1	14	2016-01-14 21:00:00.000	BZN	Elia BZ	BE	Waste 	0.000000	155.170000	2017-04-26 15:21:57.000
2016	1	14	2016-01-14 18:00:00.000	BZN	Elia BZ	BE	Other 	0.000000	680.830000	2017-04-26 15:21:32.000
2016	1	14	2016-01-14 09:00:00.000	BZN	Elia BZ	BE	Fossil Gas 	0.000000	4229.690000	2017-04-26 15:20:22.000
2016	1	14	2016-01-14 11:00:00.000	BZN	Elia BZ	BE	Waste 	0.000000	150.730000	2017-04-26 15:21:57.000
2016	1	14	2016-01-14 15:00:00.000	CTA	Elia CA	BE	Wind Offshore 	0.000000	637.567500	2017-01-10 10:42:05.000
2016	1	14	2016-01-14 09:00:00.000	CTA	Elia CA	BE	Fossil Gas 	0.000000	4229.692500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 09:00:00.000	CTA	Elia CA	BE	Hydro Run-of-river and poundage 	0.000000	19.152500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 18:00:00.000	CTA	Elia CA	BE	Other 	0.000000	680.832500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	Wind Offshore 	0.000000	346.095000	2017-01-10 10:42:05.000
2016	1	14	2016-01-14 04:00:00.000	CTA	Elia CA	BE	Other 	0.000000	544.522500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 17:00:00.000	CTA	Elia CA	BE	Hydro Pumped Storage 	0.000000	765.827500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 13:00:00.000	CTA	Elia CA	BE	Nuclear 	0.000000	5955.087500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 00:00:00.000	CTA	Elia CA	BE	Biomass 	0.000000	412.470000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 14:00:00.000	CTA	Elia CA	BE	Hydro Pumped Storage 	0.000000	177.300000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 14:00:00.000	CTA	Elia CA	BE	Solar 	0.000000	154.927500	2016-01-15 11:02:10.000
2016	1	14	2016-01-14 14:00:00.000	CTA	Elia CA	BE	Other 	0.000000	666.232500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 12:00:00.000	CTA	Elia CA	BE	Waste 	0.000000	153.675000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	Solar 	0.000000	0.000000	2016-01-16 11:02:10.000
2016	1	14	2016-01-14 05:00:00.000	CTA	Elia CA	BE	Fossil Gas 	0.000000	2361.410000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 05:00:00.000	CTA	Elia CA	BE	Hydro Run-of-river and poundage 	0.000000	18.442500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 21:00:00.000	CTA	Elia CA	BE	Wind Onshore 	0.000000	950.672500	2016-01-15 11:02:29.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	Hydro Pumped Storage 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	Nuclear 	0.000000	5961.100000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 15:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	460.300000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 07:00:00.000	CTA	Elia CA	BE	Biomass 	0.000000	412.272500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 18:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	459.950000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 09:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	3.025000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 20:00:00.000	CTA	Elia CA	BE	Biomass 	0.000000	418.925000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Waste 	0.000000	159.332500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 01:00:00.000	CTA	Elia CA	BE	Waste 	0.000000	157.807500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 05:00:00.000	CTA	Elia CA	BE	Biomass 	0.000000	325.817500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Other 	0.000000	537.410000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 22:00:00.000	CTA	Elia CA	BE	Hydro Pumped Storage 	0.000000	65.800000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	Hydro Run-of-river and poundage 	0.000000	18.360000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 05:00:00.000	CTA	Elia CA	BE	Solar 	0.000000	0.000000	2016-01-15 11:02:10.000
2016	1	14	2016-01-14 06:00:00.000	CTA	Elia CA	BE	Waste 	0.000000	155.142500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 13:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 11:00:00.000	CTA	Elia CA	BE	Biomass 	0.000000	418.737500	2017-04-26 15:11:31.000
