year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	PowerSystemResourceName	ProductionTypeName	ActualGenerationOutput	ActualConsumption	InstalledGenCapacity	SubmissionTS
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	PALUEL 2	Nuclear 	0.000000	9.000000	1330.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	EMILE HUCHET 8	Fossil Gas 	0.000000	0.000000	413.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	GRAND MAISON 11	Hydro Pumped Storage 	0.000000	0.000000	157.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	MARTIGUES PONTEAU 6	Fossil Gas 	0.000000	0.000000	465.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	GRAVELINES 1	Nuclear 	868.000000	0.000000	910.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 01:00:00.000	CTA	RTE CA	FR	GRAVELINES 2	Nuclear 	867.000000	0.000000	910.00	2016-01-14 02:51:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	GRAND MAISON 6	Hydro Pumped Storage 	0.000000	159.000000	152.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	DK6-TV1	Fossil Gas 	199.000000	0.000000	231.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 09:00:00.000	CTA	RTE CA	FR	TRICASTIN 4	Nuclear 	953.000000	0.000000	915.00	2016-01-14 10:53:08.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	VAIRES 2	Fossil Oil 	0.000000	0.000000	179.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	DAMPIERRE 4	Nuclear 	895.000000	0.000000	890.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	ARAMON 2	Fossil Oil 	0.000000	0.000000	0.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	EMILE HUCHET 7	Fossil Gas 	0.000000	0.000000	413.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	EMILE HUCHET 6	Fossil Hard coal 	0.000000	0.000000	595.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	DK6-TV1	Fossil Gas 	123.000000	0.000000	231.00	2016-01-14 04:55:08.000
